EMP09,P15_POP,lat,lon
0,3878,-0.94443367567458,46.1168391148485
0,248.999999999999,-1.169571343003,46.0184610797969
0,325,-0.903767868761816,46.1757496340637
0,2163,-1.0178533202595,46.2633875505918
0,998,-0.948838328212693,46.2061497262683
0,3877.99999999999,-1.10559823120348,46.1067790079714
0,839.999999999999,-0.890278109553427,46.0502592220515
0,497.310618508071,-1.10110083937612,46.136360202645
0,1348.29596759573,-1.12919349480424,46.1271826108426
0,3520.3074679207,-1.13109403255963,46.1390351324978
0,3397.08594597546,-1.11015452029892,46.1329333650863
0,787,-0.97289598956136,46.0532876911842
0,2318.00000000001,-1.37720107083316,46.1829202340654
0,886,-0.858777353340559,46.1627254509899
0,1157,-1.02087285688349,46.1684989098549
0,1638,-0.966230867698925,45.9997589482861
0,894,-0.845407871946809,46.1090378647838
0,1980,-1.08037382633386,46.2933616370195
0,2813.64645900992,-1.08132616336514,46.0765646720031
0,3185.35354099009,-1.08579161399593,46.0652134631735
0,1308,-0.930899015033222,46.0379367612759
0,1333,-1.03753927472969,46.1425877147169
0,1199,-1.43612863051229,46.2013016766807
0,1234,-0.998606888313118,46.103116576614
0,5339.99999999999,-1.06809855757374,46.1838351464838
0,2059,-1.11297293555276,46.2483906941898
0,831.000000000001,-0.854841034286054,46.2293721880987
0,2801.00000000001,-1.32172656243053,46.1795963082615
0,1272,-0.892127702863198,46.109179452537
0,4047.00000000001,-1.07396006465268,45.9812849229379
0,883.000000000003,-0.870843218755412,46.1878790598179
0,2830,-1.18614683671763,46.1938698483653
0,2445,-1.07118191656159,46.1212716415259
0,3206,-1.01135865750249,46.1242692631511
0,1656.00721190636,-1.1552262671678,46.1860920884864
0,1832.15886569276,-1.14268453968664,46.1892612909308
0,3664.8339224009,-1.16596498691657,46.1835951437624
0,751,-0.857286297799133,46.0695497174718
0,374,-0.927896039068684,45.9933600916239
0,700,-1.44427706854883,46.2210504422678
0,931,-0.974266838463259,46.2376781932534
0,4552.99999999999,-0.979542680116771,46.3119138221183
0,2961.00000000001,-1.13380723041472,46.2281529630116
0,868,-1.0174036860332,46.1546728998162
0,1325,-0.864491550837008,46.0111423364613
0,3007.3510800951,-1.16974710042583,46.2125041629023
0,2766.64891990489,-1.15955649654978,46.2021401985041
0,1165,-0.928819695569711,46.2379568952708
0,388,-0.816171851097021,46.0926598017052
0,2152.7620274241,-1.106366999734,46.165213323042
