EMP09,P15_POP,lon,lat
1777,2372.55582572056,5.45028016866362,43.5254782018267
3739,2770.25251237526,5.44706190741672,43.5312081218156
1224,2333.5811674441,5.45250771830151,43.5289108230347
3487,2890.30845368814,5.44928476037152,43.5284762117555
1956,2529.81563808193,5.44551256715523,43.5281214442172
903,2269.49960087913,5.44176231434364,43.5310607497007
3644,3217.04064003028,5.45465282693257,43.5302379532585
1196,2184.66828471281,5.45151927915758,43.5215124939867
499,2509.20152550394,5.43868143224472,43.5247766042481
3259,3945.86171588342,5.4421459517725,43.5258891225277
2785,3213.50124542846,5.44544884704999,43.5171894963528
0,3249.55994500124,5.45142882537023,43.5153961085857
864,2644.84851598697,5.45767064747426,43.5155887269681
534,2818.97618454177,5.46889940936319,43.5158615197315
1506,2543.10231697315,5.43980284531212,43.5184237488839
203,2087.83736907115,5.43652554990078,43.517083693687
265,2259.10186853751,5.46090726538589,43.5173309321932
848,3067.34227804681,5.46497620279011,43.5236849940091
840,2830.07668556543,5.46077940135366,43.5326752944857
85,2127.08899607405,5.46546028982393,43.5367377043515
269,1844.24967178678,5.4794302300918,43.5437450627906
956,1683.83793094086,5.44905851316325,43.5369801066059
521,1899.0582469046,5.44908308879004,43.5418475091355
0,2043.70955948529,5.43918214294464,43.5359244971398
128,3613.93132322361,5.45360332332034,43.5485368530263
86,2008.95145299305,5.44132886167811,43.5477553448931
83,2066.65021667752,5.43621067982986,43.5437067222266
535,1838.77644186461,5.43092868650843,43.5211113932404
752,2197.37631817943,5.43355094451648,43.5213962721434
433,2139.71199685942,5.43122597338995,43.5216911361488
410,1877.22664809047,5.43242001317231,43.5252094680436
730,2074.71625074737,5.43415304185883,43.5333223265509
1038,2639.88910649158,5.43118138758662,43.5282730639672
915,2197.79133383975,5.42092260763901,43.5283414743636
452,2740.72667527277,5.42224816262491,43.5225847420883
518,2146.33024057121,5.41376069343507,43.5236026627642
48,1596.04485111064,5.41538382307453,43.5258533965091
90,2330.7263664617,5.41284360443015,43.5287227740699
56,1542.2667108924,5.41344069138687,43.5321445868389
437,3062.29902655422,5.38376951569861,43.5389969665238
882,2743.20188689488,5.41951946439826,43.5340435975811
419,2099.8255010969,5.41161197589477,43.5429153806807
383,2475.02606179457,5.40379152221698,43.5338009162391
386,2968.769283911,5.45418265753031,43.5718233954244
341,2713.03147273426,5.40232933267132,43.6016220137978
817,4039.08587024117,5.42351416434783,43.5830569009742
1250,4325.32697580689,5.40876879775208,43.5653035054111
3405,4305.25760511722,5.43225701393155,43.5106835205463
1136,3657.22304627467,5.43478113400811,43.4923346005944
1185,4286.05111368822,5.4166563114678,43.4830182615044
1509,2565.71949381831,5.3800118704229,43.5039306605521
22237,1427.40558692469,5.38288357267438,43.4830980523803
8434,4114.32532656187,5.31837113993285,43.4916180066116
1890,3539.25963664201,5.3884007210341,43.5158559085756
